product_name,product_cat,naver_cat,naver_cat_cd,release,price,add_info
덴마크 하이그릭요거트 400g,덴마크 하이그릭요거트,그릭요거트,50012742,2025-02,정가 3980원,"400g 대용량, 종류 : 떠먹는 요구르트,"
동원맛참 고소참기름 135g,동원맛참,참치캔,50011941,2023-09,정가 2500원,"135g 대용량, 종류: 가미참치"
동원맛참 고소참기름 90g,동원맛참,참치캔,50011941,2023-09,정가 2000원,"90 대용량, 종류:가미참치"
동원맛참 매콤참기름 135g,동원맛참,참치캔,50011941,2023-09,정가 2500원,"135g 대용량, 종류: 고추참치/가미참치"
동원맛참 매콤참기름 90g,동원맛참,참치캔,50011941,2023-09,정가 2000원,"90 대용량, 종류: 고추참치/가미참치"
동원참치액 순 500g,동원참치액,참치액,50012521,2024-04,정가 5980원,500g 저용량
동원참치액 순 900g,동원참치액,참치액,50012521,2024-04,정가 9980원,900g 대용량
동원참치액 진 500g,동원참치액,참치액,50012521,2024-04,정가 5980원,500g 저용량
동원참치액 진 900g,동원참치액,참치액,50012521,2024-04,정가 9980원,900g 대용량
리챔 오믈레햄 200g,리챔 오믈레햄,스팸,50011943,2025-05,정가 5080원,200g 저용량
리챔 오믈레햄 340g,리챔 오믈레햄,스팸,50011943,2025-05,정가 7480원,340g 대용량
소화가 잘되는 우유로 만든 바닐라라떼 250mL,소화가 잘되는 우유로 만든 라떼,라떼,50002605,2025-02,정가 2800원,"250ml, 종류 : 컵커피"
소화가 잘되는 우유로 만든 카페라떼 250mL,소화가 잘되는 우유로 만든 라떼,라떼,50002605,2025-02,정가 2800원,"250ml, 종류 : 컵커피"
프리미엄 동원참치액 500g,동원참치액,참치액,50012521,2024-04,정가 11480원,500g 저용량
프리미엄 동원참치액 900g,동원참치액,참치액,50012521,2024-04,정가 17980원,900g 대용량